"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"63,""6x508kWYHYLgVIZv6rnufC"",0.54,0.68,9,-7.851,0,0.0299,0.000356,0.000254,0.112,0.221,127.988,180000,4,2017,""Low Enerjic"""
"64,""2N43TKlYTUfNPlyJK2exnh"",0.645,0.669,0,-6.33,0,0.0371,0.296,0,0.0693,0.457,125.027,180480,4,2017,""Low Enerjic"""
"65,""4Lhk5r1sm6MwH08JkwDZ0O"",0.548,0.783,11,-5.118,0,0.143,0.138,0,0.14,0.461,108.26,180538,4,2017,""Energic"""
"66,""2xI4CmkT6Bl4s5b4qggcgU"",0.329,0.631,2,-4.343,1,0.0486,0.26,0,0.269,0.544,155.856,185237,4,2017,""Low Enerjic"""
"67,""2oim5PeJo33M01bXAUVKLu"",0.649,0.764,1,-7.853,0,0.0363,0.00263,8e-05,0.327,0.397,120.02,186293,4,2017,""Energic"""
"68,""7CiatbFJpSnXnbCiVaGlm0"",0.693,0.612,4,-6.665,0,0.0941,0.117,0,0.0905,0.316,104.014,175083,4,2017,""Low Enerjic"""
"69,""5uzjoEMnrrraUxiQPH3ELe"",0.522,0.661,4,-6.53,0,0.0445,0.212,0,0.0956,0.475,135.934,187735,4,2017,""Low Enerjic"""
"70,""57Y51hxqMn2j3dosW75R6n"",0.733,0.672,4,-5.047,0,0.0427,0.0308,0,0.163,0.463,109.007,183991,4,2017,""Low Enerjic"""
"71,""1CrTu1tVWPUSkW9OtHM3LK"",0.517,0.483,5,-7.18,0,0.03,0.58,0,0.101,0.195,82.017,180162,3,2017,""Low Enerjic"""
"72,""3wSYu1RXRBzcGfB2vVwrZS"",0.765,0.896,7,-4.301,0,0.145,0.0753,0,0.0596,0.794,140.015,195449,4,2017,""High Energic"""
"73,""5JFHGnJYqOjUs42m7lgrP1"",0.583,0.696,10,-7.25,0,0.0891,0.039,0,0.101,0.725,75.052,179961,4,2017,""Low Enerjic"""
"74,""7o2z6XCnmhVG9OWyeCpN51"",0.614,0.823,2,-4.345,0,0.0297,0.00719,1.79e-06,0.352,0.286,110.973,196855,4,2017,""Energic"""
"75,""3UjSOJ00E1eLMcayBm827Q"",0.21,0.0959,5,-17.767,1,0.0347,0.854,0.00355,0.261,0.167,175.914,185080,3,2017,""Low Enerjic"""
"76,""4zEULD8iaJhK3Cs8oVkMSx"",0.579,0.941,9,-4.029,0,0.0873,0.00623,0,0.107,0.524,120.06,179496,4,2017,""High Energic"""
"77,""1zSqaa9tqp25ILZ4oZDrsh"",0.504,0.874,10,-6.791,1,0.115,0.00299,0,0.184,0.787,173.988,176588,4,2017,""High Energic"""
"78,""1YySksBo8O9tdgBcdPIIWw"",0.606,0.562,10,-6.496,1,0.0927,0.109,0,0.106,0.285,86.992,179307,4,2017,""Low Enerjic"""
"79,""5pTMXokyHE9OQyIDvi7ayz"",0.408,0.728,6,-5.186,1,0.0775,0.225,0,0.141,0.51,128.251,180114,5,2017,""Low Enerjic"""
"80,""1WpQu8U3quBeGnhpZn0r7N"",0.715,0.543,9,-4.972,1,0.0334,0.112,0,0.228,0.538,90.007,168000,4,2017,""Low Enerjic"""
